Time (s),mSsm0-cal,
10,1,0.990994
20,0.999611342104575,0.987739
30,0.999104788910631,0.984918
40,0.998430946975057,0.980577
50,0.997520953906363,0.976563
60,0.996285396756437,0.972439
70,0.994629995340071,0.968750
80,0.992485706997735,0.964410
90,0.989831440368684,0.960069
100,0.98669369485488,0.956272
110,0.983123486311797,0.952908
120,0.979177418904168,0.949761
130,0.974909032240038,0.947157
140,0.970372406731569,0.943685
150,0.965623966275455,0.940864
160,0.960720675572509,0.937826
170,0.955716615034895,0.935004
180,0.950659735961401,0.932183
190,0.945589156516825,0.929470
200,0.940531736639209,0.927083
210,0.935504060988283,0.924479
220,0.9305165851104,0.922092
230,0.925577781603466,0.919596
240,0.920695041457143,0.917101
250,0.915874313516768,0.914822
260,0.911120465019437,0.912326
270,0.90643656052184,0.909939
280,0.901824763240462,0.907552
290,0.897285613979426,0.905056
300,0.892818932470691,0.902995
310,0.888423276569932,0.900608
320,0.884097023864785,0.898112
330,0.879837830870722,0.895616
340,0.875643534371256,0.893446
350,0.871511250077741,0.891059
360,0.867438634505646,0.888672
370,0.863423163902406,0.886393
380,0.859462494783494,0.884115
390,0.855553923128299,0.881619
400,0.851695646256419,0.879232
410,0.847885140415283,0.877062
420,0.84412096346057,0.874674
430,0.84040077190775,0.872504
440,0.836723123612499,0.869792
450,0.833086035626373,0.867730
460,0.829488426341127,0.865343
470,0.825928493076355,0.862956
480,0.822404793687734,0.860786
490,0.81891624656702,0.858398
500,0.815461409569889,0.856120
510,0.812039020820057,0.853733
520,0.808648359245362,0.851563
530,0.805287802433438,0.849284
540,0.801956809580165,0.846897
550,0.798654118809257,0.844727
560,0.795378828780514,0.842556
570,0.792130038153731,0.840169
580,0.788906845588706,0.837674
590,0.785708710281317,0.835286
600,0.782534370355281,0.833116
610,0.779383465274517,0.830729
620,0.77625491343078,0.828559
630,0.773148354287991,0.826172
640,0.770062886505946,0.823785
650,0.766997789012483,0.821398
660,0.763952701271521,0.819444
670,0.760926721942857,0.817166
680,0.75791949049041,0.814887
690,0.754930285842018,0.812500
700,0.75195856719356,0.810438
710,0.749003793740913,0.808051
720,0.746065424679957,0.805881
730,0.743143099474609,0.803711
740,0.740236277320748,0.801649
750,0.737344417414253,0.799479
760,0.734467159219043,0.797309
770,0.731603961930995,0.795247
780,0.72875464528207,0.793077
790,0.725918488200105,0.790907
800,0.723095130149019,0.788737
810,0.720284390860771,0.786675
820,0.71748590979928,0.784505
830,0.714699146160426,0.782444
840,0.711923919676167,0.780490
850,0.70915968954238,0.778320
860,0.706406455759068,0.776367
870,0.703663497254067,0.774306
880,0.700930994295418,0.772244
890,0.698208225810958,0.770291
900,0.695495372068729,0.768121
910,0.692791711996568,0.766276
920,0.690097245594474,0.764106
930,0.687411792594409,0.762261
940,0.684734992460289,0.760200
950,0.682066484656035,0.758464
960,0.679406449449687,0.756402
970,0.676754346037122,0.754340
980,0.674110174418343,0.752387
990,0.671473574057266,0.750434
1000,0.668844364685851,0.748589
1010,0.66622272657214,0.746853
1020,0.66360793864397,0.744900
1030,0.661000361437421,0.743056
1040,0.658399634416414,0.741102
